iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
HJB,Hejing Bayinbuluke Airport,Hejing,CN,,,,,"Hejing — Hejing Bayinbuluke Airport (HJB), CN"
HNY,Hengyang Nanyue Airport,Hengyang,CN,,,,,"Hengyang — Hengyang Nanyue Airport (HNY), CN"
HZA,Heze Mudan Airport,Heze (Dingtao),CN,,,,,"Heze (Dingtao) — Heze Mudan Airport (HZA), CN"
HET,Hohhot Baita International Airport,Hohhot,CN,,,,,"Hohhot — Hohhot Baita International Airport (HET), CN"
HUO,Holingol Huolinhe Airport,Holingol,CN,,,,,"Holingol — Holingol Huolinhe Airport (HUO), CN"
HTN,Hotan Airport,Hotan,CN,,,,,"Hotan — Hotan Airport (HTN), CN"
YTW,Yutian Wanfang Airport,Hotan (Yutian),CN,,,,,"Hotan (Yutian) — Yutian Wanfang Airport (YTW), CN"
HIA,Huai'an Lianshui International Airport,Huai'an,CN,,,,,"Huai'an — Huai'an Lianshui International Airport (HIA), CN"
HJJ,Huaihua Zhijiang Airport,Huaihua,CN,,,,,"Huaihua — Huaihua Zhijiang Airport (HJJ), CN"
TXN,Tunxi International Airport,Huangshan,CN,,,,,"Huangshan — Tunxi International Airport (TXN), CN"
HUZ,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,,,,,"Huizhou (Pingtan) — Huizhou Pingtan Airport (HUZ), CN"
YIN,Yining Airport,Ili (Yining / Ghulja),CN,,,,,"Ili (Yining / Ghulja) — Yining Airport (YIN), CN"
JGS,Jinggangshan Airport,Ji'an,CN,,,,,"Ji'an — Jinggangshan Airport (JGS), CN"
JGD,Daxing'anling Elunchun Airport,Jiagedaqi,CN,,,,,"Jiagedaqi — Daxing'anling Elunchun Airport (JGD), CN"
JMU,Jiamusi Songjiang International Airport,Jiamusi,CN,,,,,"Jiamusi — Jiamusi Songjiang International Airport (JMU), CN"
JSJ,Jiansanjiang Shidi Airport,Jiansanjiang,CN,,,,,"Jiansanjiang — Jiansanjiang Shidi Airport (JSJ), CN"
JGN,Jiayuguan International Airport,Jiayuguan,CN,,,,,"Jiayuguan — Jiayuguan International Airport (JGN), CN"
SWA,Jieyang Chaoshan International Airport,Jieyang (Rongcheng),CN,,,,,"Jieyang (Rongcheng) — Jieyang Chaoshan International Airport (SWA), CN"
TNA,Jinan Yaoqiang International Airport,Jinan (Licheng),CN,,,,,"Jinan (Licheng) — Jinan Yaoqiang International Airport (TNA), CN"
JIC,Jinchang Jinchuan Airport,Jinchang,CN,,,,,"Jinchang — Jinchang Jinchuan Airport (JIC), CN"
JDZ,Jingdezhen Luojia Airport,Jingdezhen,CN,,,,,"Jingdezhen — Jingdezhen Luojia Airport (JDZ), CN"
JHG,Xishuangbanna Gasa International Airport,Jinghong (Gasa),CN,,,,,"Jinghong (Gasa) — Xishuangbanna Gasa International Airport (JHG), CN"
SHS,Jingzhou Shashi Airport,Jingzhou (Shashi),CN,,,,,"Jingzhou (Shashi) — Jingzhou Shashi Airport (SHS), CN"
YIW,Yiwu Airport,Jinhua (Yiwu),CN,,,,,"Jinhua (Yiwu) — Yiwu Airport (YIW), CN"
JNG,Jining Da'an Airport,Jining,CN,,,,,"Jining — Jining Da'an Airport (JNG), CN"
JNZ,Jinzhou Bay Airport,Jinzhou (Linghai),CN,,,,,"Jinzhou (Linghai) — Jinzhou Bay Airport (JNZ), CN"
JIU,Jiujiang Lushan Airport,Jiujiang,CN,,,,,"Jiujiang — Jiujiang Lushan Airport (JIU), CN"
JXA,Jixi Xingkaihu Airport,Jixi,CN,,,,,"Jixi — Jixi Xingkaihu Airport (JXA), CN"
KJH,Kaili Huangping Airport,Kaili  (Huangping),CN,,,,,"Kaili  (Huangping) — Kaili Huangping Airport (KJH), CN"
KRY,Karamay Airport,Karamay,CN,,,,,"Karamay — Karamay Airport (KRY), CN"
KHG,Kashgar Laining International Airport,Kashgar,CN,,,,,"Kashgar — Kashgar Laining International Airport (KHG), CN"
KRL,Korla Licheng Airport,Korla,CN,,,,,"Korla — Korla Licheng Airport (KRL), CN"
KMG,Kunming Changshui International Airport,Kunming,CN,,,,,"Kunming — Kunming Changshui International Airport (KMG), CN"
KCA,Kuqa Qiuci Airport,Kuqa,CN,,,,,"Kuqa — Kuqa Qiuci Airport (KCA), CN"
LHW,Lanzhou Zhongchuan International Airport,Lanzhou (Yongdeng),CN,,,,,"Lanzhou (Yongdeng) — Lanzhou Zhongchuan International Airport (LHW), CN"
XIC,Xichang Qingshan Airport,Liangshan (Xichang),CN,,,,,"Liangshan (Xichang) — Xichang Qingshan Airport (XIC), CN"
LYG,Lianyungang Huaguoshan International Airport,Lianyungang,CN,,,,,"Lianyungang — Lianyungang Huaguoshan International Airport (LYG), CN"
LJG,Lijiang Sanyi International Airport,Lijiang (Gucheng),CN,,,,,"Lijiang (Gucheng) — Lijiang Sanyi International Airport (LJG), CN"
LNJ,Lincang Boshang Airport,Lincang,CN,,,,,"Lincang — Lincang Boshang Airport (LNJ), CN"
CWJ,Cangyuan Washan Airport,Lincang (Cangyuan),CN,,,,,"Lincang (Cangyuan) — Cangyuan Washan Airport (CWJ), CN"
LFQ,Linfen Yaodu Airport,Linfen (Yaodu),CN,,,,,"Linfen (Yaodu) — Linfen Yaodu Airport (LFQ), CN"
LYI,Linyi Qiyang Airport,Linyi (Hedong),CN,,,,,"Linyi (Hedong) — Linyi Qiyang Airport (LYI), CN"
HZH,Liping Airport,Liping,CN,,,,,"Liping — Liping Airport (HZH), CN"
LPF,Liupanshui Yuezhao Airport,Liupanshui (Zhongshan),CN,,,,,"Liupanshui (Zhongshan) — Liupanshui Yuezhao Airport (LPF), CN"
LZH,Liuzhou Bailian Airport / Bailian Air Base,Liuzhou (Liujiang),CN,,,,,"Liuzhou (Liujiang) — Liuzhou Bailian Airport / Bailian Air Base (LZH), CN"
LNL,Longnan Chengzhou Airport,Longnan (Cheng),CN,,,,,"Longnan (Cheng) — Longnan Chengzhou Airport (LNL), CN"
LCX,Liancheng Guanzhishan Airport,Longyan (Liancheng),CN,,,,,"Longyan (Liancheng) — Liancheng Guanzhishan Airport (LCX), CN"
LYA,Luoyang Beijiao Airport,Luoyang (Laocheng),CN,,,,,"Luoyang (Laocheng) — Luoyang Beijiao Airport (LYA), CN"
LZO,Luzhou Yunlong Airport,Luzhou (Yunlong),CN,,,,,"Luzhou (Yunlong) — Luzhou Yunlong Airport (LZO), CN"
LLV,Lüliang Dawu Airport,Lüliang,CN,,,,,"Lüliang — Lüliang Dawu Airport (LLV), CN"
NZH,Manzhouli Xijiao Airport,Manzhouli,CN,,,,,"Manzhouli — Manzhouli Xijiao Airport (NZH), CN"
MXZ,Meizhou Meixian Changgangji International Airport,Meizhou (Meixian),CN,,,,,"Meizhou (Meixian) — Meizhou Meixian Changgangji International Airport (MXZ), CN"
HTT,Huatugou Airport,Mengnai,CN,,,,,"Mengnai — Huatugou Airport (HTT), CN"
MIG,Mianyang Nanjiao Airport,Mianyang (Fucheng),CN,,,,,"Mianyang (Fucheng) — Mianyang Nanjiao Airport (MIG), CN"
OHE,Mohe Gulian Airport,Mohe,CN,,,,,"Mohe — Mohe Gulian Airport (OHE), CN"
MDG,Mudanjiang Hailang International Airport,Mudanjiang,CN,,,,,"Mudanjiang — Mudanjiang Hailang International Airport (MDG), CN"
KHN,Nanchang Changbei International Airport,Nanchang,CN,,,,,"Nanchang — Nanchang Changbei International Airport (KHN), CN"
NAO,Nanchong Gaoping Airport,Nanchong (Gaoping),CN,,,,,"Nanchong (Gaoping) — Nanchong Gaoping Airport (NAO), CN"
LZG,Langzhong Gucheng Airport,Nanchong (Langzhong),CN,,,,,"Nanchong (Langzhong) — Langzhong Gucheng Airport (LZG), CN"
NKG,Nanjing Lukou International Airport,Nanjing,CN,,,,,"Nanjing — Nanjing Lukou International Airport (NKG), CN"
NNG,Nanning Wuxu International Airport,Nanning (Jiangnan),CN,,,,,"Nanning (Jiangnan) — Nanning Wuxu International Airport (NNG), CN"
NTG,Nantong Xingdong International Airport,Nantong (Tongzhou),CN,,,,,"Nantong (Tongzhou) — Nantong Xingdong International Airport (NTG), CN"
NNY,Nanyang Jiangying Airport,Nanyang (Wancheng),CN,,,,,"Nanyang (Wancheng) — Nanyang Jiangying Airport (NNY), CN"
JZH,Jiuzhai Huanglong Airport,Ngawa (Songpan),CN,,,,,"Ngawa (Songpan) — Jiuzhai Huanglong Airport (JZH), CN"
NGB,Ningbo Lishe International Airport,Ningbo,CN,,,,,"Ningbo — Ningbo Lishe International Airport (NGB), CN"
NLH,Ninglang Luguhu Airport,Ninglang,CN,,,,,"Ninglang — Ninglang Luguhu Airport (NLH), CN"
LZY,Nyingchi Mainling Airport,Nyingchi (Mainling),CN,,,,,"Nyingchi (Mainling) — Nyingchi Mainling Airport (LZY), CN"
DSN,Ordos Ejin Horo International Airport,Ordos,CN,,,,,"Ordos — Ordos Ejin Horo International Airport (DSN), CN"
PZI,Panzhihua Bao'anying Airport,Panzhihua (Renhe),CN,,,,,"Panzhihua (Renhe) — Panzhihua Bao'anying Airport (PZI), CN"
SYM,Pu'er Simao Airport,Pu'er,CN,,,,,"Pu'er — Pu'er Simao Airport (SYM), CN"
JMJ,Lancang Jingmai Airport,Pu'er (Lancang),CN,,,,,"Pu'er (Lancang) — Lancang Jingmai Airport (JMJ), CN"
YSQ,Songyuan Chaganhu Airport,Qian Gorlos Mongol Autonomous County,CN,,,,,"Qian Gorlos Mongol Autonomous County — Songyuan Chaganhu Airport (YSQ), CN"
JIQ,Qianjiang Wulingshan Airport,Qianjiang,CN,,,,,"Qianjiang — Qianjiang Wulingshan Airport (JIQ), CN"
LLB,Libo Airport,Qiannan (Libo),CN,,,,,"Qiannan (Libo) — Libo Airport (LLB), CN"
IQM,Qiemo Yudu Airport,Qiemo,CN,,,,,"Qiemo — Qiemo Yudu Airport (IQM), CN"
TAO,Qingdao Jiaodong International Airport,Qingdao (Jiaozhou),CN,,,,,"Qingdao (Jiaozhou) — Qingdao Jiaodong International Airport (TAO), CN"
IQN,Qingyang Xifeng Airport,Qingyang (Xifeng),CN,,,,,"Qingyang (Xifeng) — Qingyang Xifeng Airport (IQN), CN"
BPE,Qinhuangdao Beidaihe Airport,Qinhuangdao (Changli),CN,,,,,"Qinhuangdao (Changli) — Qinhuangdao Beidaihe Airport (BPE), CN"
BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN,,,,,"Qionghai (Basuo) — Qionghai Bo'ao Airport (BAR), CN"
NDG,Qiqihar Sanjiazi Airport,Qiqihar,CN,,,,,"Qiqihar — Qiqihar Sanjiazi Airport (NDG), CN"
JBK,Qitai Jiangbulake Airport,Qitai,CN,,,,,"Qitai — Qitai Jiangbulake Airport (JBK), CN"
JJN,Quanzhou Jinjiang International Airport,Quanzhou,CN,,,,,"Quanzhou — Quanzhou Jinjiang International Airport (JJN), CN"
JUZ,Quzhou Airport,Quzhou (Kezheng),CN,,,,,"Quzhou (Kezheng) — Quzhou Airport (JUZ), CN"
RIZ,Rizhao Shanzihe Airport,Rizhao (Donggang),CN,,,,,"Rizhao (Donggang) — Rizhao Shanzihe Airport (RIZ), CN"
RQA,Ruoqiang Loulan Airport,Ruoqiang Town,CN,,,,,"Ruoqiang Town — Ruoqiang Loulan Airport (RQA), CN"
SQJ,Sanming Shaxian Airport,Sanming (Sha),CN,,,,,"Sanming (Sha) — Sanming Shaxian Airport (SQJ), CN"
SYX,Sanya Phoenix International Airport,Sanya (Tianya),CN,,,,,"Sanya (Tianya) — Sanya Phoenix International Airport (SYX), CN"
QSZ,Shache Airport,Shache,CN,,,,,"Shache — Shache Airport (QSZ), CN"
SHA,Shanghai Hongqiao International Airport,Shanghai (Minhang),CN,,,,,"Shanghai (Minhang) — Shanghai Hongqiao International Airport (SHA), CN"
PVG,Shanghai Pudong International Airport,Shanghai (Pudong),CN,,,,,"Shanghai (Pudong) — Shanghai Pudong International Airport (PVG), CN"
SQD,Shangrao Sanqingshan Airport,Shangrao (Hengfeng),CN,,,,,"Shangrao (Hengfeng) — Shangrao Sanqingshan Airport (SQD), CN"
LGZ,Shannan Longzi Airport,Shannan,CN,,,,,"Shannan — Shannan Longzi Airport (LGZ), CN"
LXA,Lhasa Gonggar International Airport,Shannan (Gonggar),CN,,,,,"Shannan (Gonggar) — Lhasa Gonggar International Airport (LXA), CN"
HSC,Shaoguan Danxia Airport,Shaoguan,CN,,,,,"Shaoguan — Shaoguan Danxia Airport (HSC), CN"
WGN,Shaoyang Wugang Airport,Shaoyang (Wugang),CN,,,,,"Shaoyang (Wugang) — Shaoyang Wugang Airport (WGN), CN"
HPG,Shennongjia Hongping Airport,Shennongjia (Hongping),CN,,,,,"Shennongjia (Hongping) — Shennongjia Hongping Airport (HPG), CN"
SHE,Shenyang Taoxian International Airport,Shenyang,CN,,,,,"Shenyang — Shenyang Taoxian International Airport (SHE), CN"
SZX,Shenzhen Bao'an International Airport,Shenzhen,CN,,,,,"Shenzhen — Shenzhen Bao'an International Airport (SZX), CN"
SHF,Shihezi Huayuan Airport,Shihezi,CN,,,,,"Shihezi — Shihezi Huayuan Airport (SHF), CN"
SJW,Shijiazhuang Zhengding International Airport,Shijiazhuang,CN,,,,,"Shijiazhuang — Shijiazhuang Zhengding International Airport (SJW), CN"
NGQ,Ngari Gunsa Airport,Shiquanhe,CN,,,,,"Shiquanhe — Ngari Gunsa Airport (NGQ), CN"
WDS,Shiyan Wudangshan Airport,Shiyan (Maojian),CN,,,,,"Shiyan (Maojian) — Shiyan Wudangshan Airport (WDS), CN"
CHG,Chaoyang Airport,"Shuangta, Chaoyang",CN,,,,,"Shuangta, Chaoyang — Chaoyang Airport (CHG), CN"
TCG,Tacheng Qianquan Airport,Tacheng,CN,,,,,"Tacheng — Tacheng Qianquan Airport (TCG), CN"
TYN,Taiyuan Wusu International Airport,Taiyuan,CN,,,,,"Taiyuan — Taiyuan Wusu International Airport (TYN), CN"
HYN,Taizhou Luqiao Airport,Taizhou (Luqiao),CN,,,,,"Taizhou (Luqiao) — Taizhou Luqiao Airport (HYN), CN"
WUZ,Wuzhou Xijiang Airport,Tangbu,CN,,,,,"Tangbu — Wuzhou Xijiang Airport (WUZ), CN"
TVS,Tangshan Sannühe Airport,Tangshan (Fengrun),CN,,,,,"Tangshan (Fengrun) — Tangshan Sannühe Airport (TVS), CN"
HQL,Tashikuergan Hongqilafu Airport,Tashikuergan,CN,,,,,"Tashikuergan — Tashikuergan Hongqilafu Airport (HQL), CN"
TSN,Tianjin Binhai International Airport,Tianjin,CN,,,,,"Tianjin — Tianjin Binhai International Airport (TSN), CN"
THQ,Tianshui Maijishan Airport,Tianshui (Maiji),CN,,,,,"Tianshui (Maiji) — Tianshui Maijishan Airport (THQ), CN"
TNH,Tonghua Sanyuanpu Airport,Tonghua,CN,,,,,"Tonghua — Tonghua Sanyuanpu Airport (TNH), CN"
TGO,Tongliao Airport,Tongliao,CN,,,,,"Tongliao — Tongliao Airport (TGO), CN"
TEN,Tongren Fenghuang Airport,Tongren (Daxing),CN,,,,,"Tongren (Daxing) — Tongren Fenghuang Airport (TEN), CN"
TWC,Tumxuk Tangwangcheng Airport,Tumxuk,CN,,,,,"Tumxuk — Tumxuk Tangwangcheng Airport (TWC), CN"
TLQ,Turpan Jiaohe Airport,Turpan,CN,,,,,"Turpan — Turpan Jiaohe Airport (TLQ), CN"
HLH,Ulanhot Yilelite Airport,Ulanhot,CN,,,,,"Ulanhot — Ulanhot Yilelite Airport (HLH), CN"
UCB,Ulanqab Jining Airport,Ulanqab,CN,,,,,"Ulanqab — Ulanqab Jining Airport (UCB), CN"
WXN,Wanzhou Wuqiao Airport,Wanzhou,CN,,,,,"Wanzhou — Wanzhou Wuqiao Airport (WXN), CN"
