iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
AUH,Zayed International Airport,Abu Dhabi,AE,,,,,"Abu Dhabi — Zayed International Airport (AUH), AE"
AAN,Al Ain International Airport,Al Ain,AE,,,,,"Al Ain — Al Ain International Airport (AAN), AE"
ZDY,Delma Airport,Delma Island,AE,,,,,"Delma Island — Delma Airport (ZDY), AE"
DXB,Dubai International Airport,Dubai,AE,,,,,"Dubai — Dubai International Airport (DXB), AE"
DWC,Al Maktoum International Airport,Dubai(Jebel Ali),AE,,,,,"Dubai(Jebel Ali) — Al Maktoum International Airport (DWC), AE"
FJR,Fujairah International Airport,Fujairah,AE,,,,,"Fujairah — Fujairah International Airport (FJR), AE"
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,,,,,"Ras Al Khaimah — Ras Al Khaimah International Airport (RKT), AE"
SHJ,Sharjah International Airport,Sharjah,AE,,,,,"Sharjah — Sharjah International Airport (SHJ), AE"
FBD,Fayzabad Airport,Fayzabad,AF,,,,,"Fayzabad — Fayzabad Airport (FBD), AF"
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,,,,,"Guzara — Herat - Khwaja Abdullah Ansari International Airport (HEA), AF"
KBL,Kabul International Airport,Kabul,AF,,,,,"Kabul — Kabul International Airport (KBL), AF"
KDH,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,,,,,"Khvoshab — Ahmad Shah Baba International Airport / Kandahar Airfield (KDH), AF"
MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,AF,,,,,"Maymana — Maymana Zahiraddin Faryabi Airport (MMZ), AF"
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,,,,,"Mazar-i-Sharif — Mazar-i-Sharif International Airport (MZR), AF"
BBQ,Codrington Airport,Codrington,AG,,,,,"Codrington — Codrington Airport (BBQ), AG"
ANU,V. C. Bird International Airport,Osbourn,AG,,,,,"Osbourn — V. C. Bird International Airport (ANU), AG"
AXA,Clayton J. Lloyd International Airport,The Valley,AI,,,,,"The Valley — Clayton J. Lloyd International Airport (AXA), AI"
TIA,Tirana International Airport Mother Teresa,Rinas,AL,,,,,"Rinas — Tirana International Airport Mother Teresa (TIA), AL"
LWN,Shirak International Airport,Gyumri,AM,,,,,"Gyumri — Shirak International Airport (LWN), AM"
EVN,Zvartnots International Airport,Yerevan,AM,,,,,"Yerevan — Zvartnots International Airport (EVN), AM"
CAB,Cabinda Airport,Cabinda,AO,,,,,"Cabinda — Cabinda Airport (CAB), AO"
CBT,Catumbela Airport,Catumbela,AO,,,,,"Catumbela — Catumbela Airport (CBT), AO"
DUE,Dundo Airport,Chitato,AO,,,,,"Chitato — Dundo Airport (DUE), AO"
NOV,Albano Machado Airport,Huambo,AO,,,,,"Huambo — Albano Machado Airport (NOV), AO"
LAD,Quatro de Fevereiro International Airport,Luanda,AO,,,,,"Luanda — Quatro de Fevereiro International Airport (LAD), AO"
SDD,Lubango Mukanka International Airport,Lubango,AO,,,,,"Lubango — Lubango Mukanka International Airport (SDD), AO"
MEG,Malanje Airport,Malanje,AO,,,,,"Malanje — Malanje Airport (MEG), AO"
SSY,Mbanza Congo Airport,Mbanza Congo,AO,,,,,"Mbanza Congo — Mbanza Congo Airport (SSY), AO"
SPP,Menongue Airport,Menongue,AO,,,,,"Menongue — Menongue Airport (SPP), AO"
MSZ,Welwitschia Mirabilis International Airport,Moçâmedes,AO,,,,,"Moçâmedes — Welwitschia Mirabilis International Airport (MSZ), AO"
GXG,Negage Airport,Negage,AO,,,,,"Negage — Negage Airport (GXG), AO"
VPE,Ngjiva Pereira Airport,Ngiva,AO,,,,,"Ngiva — Ngjiva Pereira Airport (VPE), AO"
SZA,Soyo Airport,Soyo,AO,,,,,"Soyo — Soyo Airport (SZA), AO"
TNM,Teniente Rodolfo Marsh Martin Airport,Villa Las Estrellas,AQ,,,,,"Villa Las Estrellas — Teniente Rodolfo Marsh Martin Airport (TNM), AQ"
BHI,Comandante Espora Airport,Bahía Blanca,AR,,,,,"Bahía Blanca — Comandante Espora Airport (BHI), AR"
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR,,,,,"Buenos Aires — Aeroparque Jorge Newbery (AEP), AR"
EZE,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),AR,,,,,"Buenos Aires (Ezeiza) — Ezeiza International Airport - Ministro Pistarini (EZE), AR"
CTC,Coronel Felipe Varela International Airport,Catamarca,AR,,,,,"Catamarca — Coronel Felipe Varela International Airport (CTC), AR"
CPC,Aviador C. Campos Airport,Chapelco/San Martin de los Andes,AR,,,,,"Chapelco/San Martin de los Andes — Aviador C. Campos Airport (CPC), AR"
CRD,General Enrique Mosconi International Airport,Comodoro Rivadavia,AR,,,,,"Comodoro Rivadavia — General Enrique Mosconi International Airport (CRD), AR"
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Cordoba,AR,,,,,"Cordoba — Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (COR), AR"
CNQ,Corrientes Airport,Corrientes,AR,,,,,"Corrientes — Corrientes Airport (CNQ), AR"
FTE,El Calafate - Commander Armando Tola International Airport,El Calafate,AR,,,,,"El Calafate — El Calafate - Commander Armando Tola International Airport (FTE), AR"
EQS,Esquel Brigadier Antonio Parodi International Airport,Esquel,AR,,,,,"Esquel — Esquel Brigadier Antonio Parodi International Airport (EQS), AR"
FMA,Formosa National Airport,Formosa,AR,,,,,"Formosa — Formosa National Airport (FMA), AR"
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR,,,,,"Gobernador Gregores — Gobernador Gregores Airport (GGS), AR"
IRJ,Capitan V A Almonacid Airport,La Rioja,AR,,,,,"La Rioja — Capitan V A Almonacid Airport (IRJ), AR"
LHS,Las Heras Airport,Las Heras,AR,,,,,"Las Heras — Las Heras Airport (LHS), AR"
MDQ,Ástor Piazzola International Airport,Mar del Plata,AR,,,,,"Mar del Plata — Ástor Piazzola International Airport (MDQ), AR"
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,AR,,,,,"Mendoza — Governor Francisco Gabrielli International Airport (MDZ), AR"
NEC,Necochea Airport,Necochea,AR,,,,,"Necochea — Necochea Airport (NEC), AR"
NQN,Presidente Peron Airport,Neuquen,AR,,,,,"Neuquen — Presidente Peron Airport (NQN), AR"
PRA,General Urquiza Airport,Parana,AR,,,,,"Parana — General Urquiza Airport (PRA), AR"
PMQ,Perito Moreno Jalil Hamer Airport,Perito Moreno,AR,,,,,"Perito Moreno — Perito Moreno Jalil Hamer Airport (PMQ), AR"
PSS,Libertador Gral D Jose De San Martin Airport,Posadas,AR,,,,,"Posadas — Libertador Gral D Jose De San Martin Airport (PSS), AR"
PUD,Puerto Deseado Airport,Puerto Deseado,AR,,,,,"Puerto Deseado — Puerto Deseado Airport (PUD), AR"
IGR,Cataratas Del Iguazú International Airport,Puerto Iguazu,AR,,,,,"Puerto Iguazu — Cataratas Del Iguazú International Airport (IGR), AR"
PMY,El Tehuelche Airport,Puerto Madryn,AR,,,,,"Puerto Madryn — El Tehuelche Airport (PMY), AR"
REL,Almirante Marco Andres Zar Airport,Rawson,AR,,,,,"Rawson — Almirante Marco Andres Zar Airport (REL), AR"
RES,Resistencia International Airport,Resistencia,AR,,,,,"Resistencia — Resistencia International Airport (RES), AR"
RGL,Piloto Civil Norberto Fernández International Airport,Rio Gallegos,AR,,,,,"Rio Gallegos — Piloto Civil Norberto Fernández International Airport (RGL), AR"
RGA,Hermes Quijada International Airport,Rio Grande,AR,,,,,"Rio Grande — Hermes Quijada International Airport (RGA), AR"
RYO,28 de Noviembre Airport,Rio Turbio,AR,,,,,"Rio Turbio — 28 de Noviembre Airport (RYO), AR"
ROS,Rosario Islas Malvinas International Airport,Rosario,AR,,,,,"Rosario — Rosario Islas Malvinas International Airport (ROS), AR"
SLA,Martin Miguel De Guemes International Airport,Salta,AR,,,,,"Salta — Martin Miguel De Guemes International Airport (SLA), AR"
OES,Antoine de Saint Exupéry Airport,San Antonio Oeste,AR,,,,,"San Antonio Oeste — Antoine de Saint Exupéry Airport (OES), AR"
BRC,Teniente Luis Candelaria International Airport,San Carlos de Bariloche,AR,,,,,"San Carlos de Bariloche — Teniente Luis Candelaria International Airport (BRC), AR"
UAQ,Domingo Faustino Sarmiento Airport,San Juan,AR,,,,,"San Juan — Domingo Faustino Sarmiento Airport (UAQ), AR"
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR,,,,,"San Luis — Brigadier Mayor D Cesar Raul Ojeda Airport (LUQ), AR"
TUC,Teniente Benjamin Matienzo Airport,San Miguel de Tucumán,AR,,,,,"San Miguel de Tucumán — Teniente Benjamin Matienzo Airport (TUC), AR"
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,,,,,"San Rafael — Suboficial Ay Santiago Germano Airport (AFA), AR"
JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,AR,,,,,"San Salvador de Jujuy — Gobernador Horacio Guzman International Airport (JUJ), AR"
SFN,Sauce Viejo Airport,Santa Fe,AR,,,,,"Santa Fe — Sauce Viejo Airport (SFN), AR"
RSA,Santa Rosa Airport,Santa Rosa,AR,,,,,"Santa Rosa — Santa Rosa Airport (RSA), AR"
SST,Santa Teresita Airport,Santa Teresita,AR,,,,,"Santa Teresita — Santa Teresita Airport (SST), AR"
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago del Estero,AR,,,,,"Santiago del Estero — Vicecomodoro Angel D. La Paz Aragonés Airport (SDE), AR"
RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,AR,,,,,"Termas de Río Hondo — Termas de Río Hondo international Airport (RHD), AR"
USH,Ushuaia - Malvinas Argentinas International Airport,Ushuaia,AR,,,,,"Ushuaia — Ushuaia - Malvinas Argentinas International Airport (USH), AR"
VDM,Gobernador Castello Airport,Viedma / Carmen de Patagones,AR,,,,,"Viedma / Carmen de Patagones — Gobernador Castello Airport (VDM), AR"
FTI,Fitiuta Airport,Fitiuta Village,AS,,,,,"Fitiuta Village — Fitiuta Airport (FTI), AS"
OFU,Ofu Airport,Ofu,AS,,,,,"Ofu — Ofu Airport (OFU), AS"
PPG,Pago Pago International Airport,Pago Pago,AS,,,,,"Pago Pago — Pago Pago International Airport (PPG), AS"
GRZ,Graz Airport,Feldkirchen bei Graz,AT,,,,,"Feldkirchen bei Graz — Graz Airport (GRZ), AT"
INN,Innsbruck Airport,Innsbruck,AT,,,,,"Innsbruck — Innsbruck Airport (INN), AT"
KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,,,,,"Klagenfurt am Wörthersee — Klagenfurt Airport (KLU), AT"
LNZ,Linz-Hörsching Airport,Linz,AT,,,,,"Linz — Linz-Hörsching Airport (LNZ), AT"
SZG,Salzburg Airport,Salzburg,AT,,,,,"Salzburg — Salzburg Airport (SZG), AT"
VIE,Vienna International Airport,Vienna,AT,,,,,"Vienna — Vienna International Airport (VIE), AT"
BXG,Bendigo Airport,,AU,,,,,"Bendigo Airport (BXG), AU"
BVI,Birdsville Airport,,AU,,,,,"Birdsville Airport (BVI), AU"
BQL,Boulia Airport,,AU,,,,,"Boulia Airport (BQL), AU"
BRK,Bourke Airport,,AU,,,,,"Bourke Airport (BRK), AU"
BUC,Burketown Airport,,AU,,,,,"Burketown Airport (BUC), AU"
CED,Ceduna Airport,,AU,,,,,"Ceduna Airport (CED), AU"
CAZ,Cobar Airport,,AU,,,,,"Cobar Airport (CAZ), AU"
CNC,Coconut Island Airport,,AU,,,,,"Coconut Island Airport (CNC), AU"
CTN,Cooktown Airport,,AU,,,,,"Cooktown Airport (CTN), AU"
CNB,Coonamble Airport,,AU,,,,,"Coonamble Airport (CNB), AU"
CMA,Cunnamulla Airport,,AU,,,,,"Cunnamulla Airport (CMA), AU"
DMD,Doomadgee Airport,,AU,,,,,"Doomadgee Airport (DMD), AU"
FIZ,Fitzroy Crossing Airport,,AU,,,,,"Fitzroy Crossing Airport (FIZ), AU"
JCK,Julia Creek Airport,,AU,,,,,"Julia Creek Airport (JCK), AU"
KFG,Kalkgurung Airport,,AU,,,,,"Kalkgurung Airport (KFG), AU"
KRB,Karumba Airport,,AU,,,,,"Karumba Airport (KRB), AU"
KNS,King Island Airport,,AU,,,,,"King Island Airport (KNS), AU"
KGC,Kingscote Airport,,AU,,,,,"Kingscote Airport (KGC), AU"
LEL,Lake Evella Airport,,AU,,,,,"Lake Evella Airport (LEL), AU"
LER,Leinster Airport,,AU,,,,,"Leinster Airport (LER), AU"
LHG,Lightning Ridge Airport,,AU,,,,,"Lightning Ridge Airport (LHG), AU"
MKR,Meekatharra Airport,,AU,,,,,"Meekatharra Airport (MKR), AU"
ONG,Mornington Island Airport,,AU,,,,,"Mornington Island Airport (ONG), AU"
MMG,Mount Magnet Airport,,AU,,,,,"Mount Magnet Airport (MMG), AU"
OKY,Oakey Army Aviation Centre,,AU,,,,,"Oakey Army Aviation Centre (OKY), AU"
PMK,Palm Island Airport,,AU,,,,,"Palm Island Airport (PMK), AU"
PUG,Port Augusta Airport,,AU,,,,,"Port Augusta Airport (PUG), AU"
PTJ,Portland Airport,,AU,,,,,"Portland Airport (PTJ), AU"
ULP,Quilpie Airport,,AU,,,,,"Quilpie Airport (ULP), AU"
RAM,Ramingining Airport,,AU,,,,,"Ramingining Airport (RAM), AU"
RCM,Richmond Airport,,AU,,,,,"Richmond Airport (RCM), AU"
SGO,St George Airport,,AU,,,,,"St George Airport (SGO), AU"
WGE,Walgett Airport,,AU,,,,,"Walgett Airport (WGE), AU"
WUN,Wiluna Airport,,AU,,,,,"Wiluna Airport (WUN), AU"
WIN,Winton Airport,,AU,,,,,"Winton Airport (WIN), AU"
ADL,Adelaide International Airport,Adelaide,AU,,,,,"Adelaide — Adelaide International Airport (ADL), AU"
ALH,Albany Airport,Albany,AU,,,,,"Albany — Albany Airport (ALH), AU"
WOL,Shellharbour Airport,Albion Park Rail,AU,,,,,"Albion Park Rail — Shellharbour Airport (WOL), AU"
ASP,Alice Springs Airport,Alice Springs,AU,,,,,"Alice Springs — Alice Springs Airport (ASP), AU"
ARM,Armidale Airport,Armidale,AU,,,,,"Armidale — Armidale Airport (ARM), AU"
AUU,Aurukun Airport,Aurukun,AU,,,,,"Aurukun — Aurukun Airport (AUU), AU"
BDD,Badu Island Airport,Badu Island,AU,,,,,"Badu Island — Badu Island Airport (BDD), AU"
BNK,Ballina Byron Gateway Airport,Ballina,AU,,,,,"Ballina — Ballina Byron Gateway Airport (BNK), AU"
ABM,Northern Peninsula Airport,Bamaga,AU,,,,,"Bamaga — Northern Peninsula Airport (ABM), AU"
BCI,Barcaldine Airport,Barcaldine,AU,,,,,"Barcaldine — Barcaldine Airport (BCI), AU"
BHS,Bathurst Airport,Bathurst,AU,,,,,"Bathurst — Bathurst Airport (BHS), AU"
BEU,Bedourie Airport,Bedourie,AU,,,,,"Bedourie — Bedourie Airport (BEU), AU"
THG,Thangool Airport,Biloela,AU,,,,,"Biloela — Thangool Airport (THG), AU"
BKQ,Blackall Airport,Blackall,AU,,,,,"Blackall — Blackall Airport (BKQ), AU"
GIC,Boigu Island Airport,Boigu Island,AU,,,,,"Boigu Island — Boigu Island Airport (GIC), AU"
BNE,Brisbane International Airport,Brisbane,AU,,,,,"Brisbane — Brisbane International Airport (BNE), AU"
KGI,Kalgoorlie Boulder Airport,Broadwood,AU,,,,,"Broadwood — Kalgoorlie Boulder Airport (KGI), AU"
BHQ,Broken Hill Airport,Broken Hill,AU,,,,,"Broken Hill — Broken Hill Airport (BHQ), AU"
BME,Broome International Airport,Broome,AU,,,,,"Broome — Broome International Airport (BME), AU"
BDB,Bundaberg Airport,Bundaberg,AU,,,,,"Bundaberg — Bundaberg Airport (BDB), AU"
BWT,Wynyard Airport,Burnie,AU,,,,,"Burnie — Wynyard Airport (BWT), AU"
BQB,Busselton Margaret River Regional Airport,Busselton,AU,,,,,"Busselton — Busselton Margaret River Regional Airport (BQB), AU"
CNS,Cairns International Airport,Cairns,AU,,,,,"Cairns — Cairns International Airport (CNS), AU"
CBR,Canberra Airport,Canberra,AU,,,,,"Canberra — Canberra Airport (CBR), AU"
CVQ,Carnarvon Airport,Carnarvon,AU,,,,,"Carnarvon — Carnarvon Airport (CVQ), AU"
CTL,Charleville Airport,Charleville,AU,,,,,"Charleville — Charleville Airport (CTL), AU"
CKW,Christmas Creek Airport,Christmas Creek Mine,AU,,,,,"Christmas Creek Mine — Christmas Creek Airport (CKW), AU"
CNJ,Cloncurry Airport,Cloncurry,AU,,,,,"Cloncurry — Cloncurry Airport (CNJ), AU"
CUQ,Coen Airport,Coen,AU,,,,,"Coen — Coen Airport (CUQ), AU"
CFS,Coffs Harbour Airport,Coffs Harbour,AU,,,,,"Coffs Harbour — Coffs Harbour Airport (CFS), AU"
CPD,Coober Pedy Airport,Coober Pedy,AU,,,,,"Coober Pedy — Coober Pedy Airport (CPD), AU"
OOM,Cooma Snowy Mountains Airport,Cooma,AU,,,,,"Cooma — Cooma Snowy Mountains Airport (OOM), AU"
GYZ,Gruyere Airport,Cosmo Newbery,AU,,,,,"Cosmo Newbery — Gruyere Airport (GYZ), AU"
NLF,Darnley Island Airport,Darnley Island,AU,,,,,"Darnley Island — Darnley Island Airport (NLF), AU"
DRW,Darwin International Airport / RAAF Darwin,Darwin,AU,,,,,"Darwin — Darwin International Airport / RAAF Darwin (DRW), AU"
MJK,Shark Bay Airport,Denham,AU,,,,,"Denham — Shark Bay Airport (MJK), AU"
DPO,Devonport Airport,Devonport,AU,,,,,"Devonport — Devonport Airport (DPO), AU"
DBO,Dubbo City Regional Airport,Dubbo,AU,,,,,"Dubbo — Dubbo City Regional Airport (DBO), AU"
ABX,Albury Airport,East Albury,AU,,,,,"East Albury — Albury Airport (ABX), AU"
ELC,Elcho Island Airport,Elcho Island,AU,,,,,"Elcho Island — Elcho Island Airport (ELC), AU"
EMD,Emerald Airport,Emerald,AU,,,,,"Emerald — Emerald Airport (EMD), AU"
EPR,Esperance Airport,Esperance,AU,,,,,"Esperance — Esperance Airport (EPR), AU"
MEB,Melbourne Essendon Airport,Essendon Fields,AU,,,,,"Essendon Fields — Melbourne Essendon Airport (MEB), AU"
LEA,Learmonth Airport,Exmouth,AU,,,,,"Exmouth — Learmonth Airport (LEA), AU"
WGA,Wagga Wagga Airport,Forest Hill,AU,,,,,"Forest Hill — Wagga Wagga Airport (WGA), AU"
AVV,Melbourne Avalon International Airport,Geelong/Melbourne,AU,,,,,"Geelong/Melbourne — Melbourne Avalon International Airport (AVV), AU"
GLT,Gladstone Airport,Gladstone,AU,,,,,"Gladstone — Gladstone Airport (GLT), AU"
OOL,Gold Coast Airport,Gold Coast,AU,,,,,"Gold Coast — Gold Coast Airport (OOL), AU"
GFF,Griffith Airport,Griffith,AU,,,,,"Griffith — Griffith Airport (GFF), AU"
GTE,Groote Eylandt Airport,Groote Eylandt,AU,,,,,"Groote Eylandt — Groote Eylandt Airport (GTE), AU"
HTI,Hamilton Island Airport,Hamilton Island,AU,,,,,"Hamilton Island — Hamilton Island Airport (HTI), AU"
HIS,Hayman Island Resort Seaplane Base,Hayman Island,AU,,,,,"Hayman Island — Hayman Island Resort Seaplane Base (HIS), AU"
HVB,Hervey Bay Airport,Hervey Bay,AU,,,,,"Hervey Bay — Hervey Bay Airport (HVB), AU"
HBA,Hobart International Airport,Hobart (Cambridge),AU,,,,,"Hobart (Cambridge) — Hobart International Airport (HBA), AU"
HID,Horn Island Airport,Horn,AU,,,,,"Horn — Horn Island Airport (HID), AU"
HGD,Hughenden Airport,Hughenden,AU,,,,,"Hughenden — Hughenden Airport (HGD), AU"
KAX,Kalbarri Airport,Kalbarri,AU,,,,,"Kalbarri — Kalbarri Airport (KAX), AU"
KQR,Karara Airport,Karara,AU,,,,,"Karara — Karara Airport (KQR), AU"
KTA,Karratha Airport,Karratha,AU,,,,,"Karratha — Karratha Airport (KTA), AU"
KWM,Kowanyama Airport,Kowanyama,AU,,,,,"Kowanyama — Kowanyama Airport (KWM), AU"
KUG,Kubin Island Airport,Kubin Island,AU,,,,,"Kubin Island — Kubin Island Airport (KUG), AU"
KNX,East Kimberley Regional (Kununurra) Airport,Kununurra,AU,,,,,"Kununurra — East Kimberley Regional (Kununurra) Airport (KNX), AU"
HOK,Hooker Creek Airport,Lajamanu,AU,,,,,"Lajamanu — Hooker Creek Airport (HOK), AU"
LST,Launceston Airport,Launceston (Western Junction),AU,,,,,"Launceston (Western Junction) — Launceston Airport (LST), AU"
LVO,Laverton Airport,Laverton,AU,,,,,"Laverton — Laverton Airport (LVO), AU"
LNO,Leonora Airport,Leonora,AU,,,,,"Leonora — Leonora Airport (LNO), AU"
LSY,Lismore Airport,Lismore,AU,,,,,"Lismore — Lismore Airport (LSY), AU"
IRG,Lockhart River Airport,Lockhart River,AU,,,,,"Lockhart River — Lockhart River Airport (IRG), AU"
LRE,Longreach Airport,Longreach,AU,,,,,"Longreach — Longreach Airport (LRE), AU"
LDH,Lord Howe Island Airport,Lord Howe Island,AU,,,,,"Lord Howe Island — Lord Howe Island Airport (LDH), AU"
UBB,Mabuiag Island Airport,Mabuiag Island,AU,,,,,"Mabuiag Island — Mabuiag Island Airport (UBB), AU"
MKY,Mackay Airport,Mackay,AU,,,,,"Mackay — Mackay Airport (MKY), AU"
MNG,Maningrida Airport,Maningrida,AU,,,,,"Maningrida — Maningrida Airport (MNG), AU"
MCY,Sunshine Coast Airport,Maroochydore,AU,,,,,"Maroochydore — Sunshine Coast Airport (MCY), AU"
MCV,McArthur River Mine Airport,McArthur River Mine,AU,,,,,"McArthur River Mine — McArthur River Mine Airport (MCV), AU"
MEL,Melbourne Airport,Melbourne,AU,,,,,"Melbourne — Melbourne Airport (MEL), AU"
MBW,Melbourne Moorabbin Airport,Melbourne,AU,,,,,"Melbourne — Melbourne Moorabbin Airport (MBW), AU"
MIM,Merimbula Airport,Merimbula,AU,,,,,"Merimbula — Merimbula Airport (MIM), AU"
MQL,Mildura Airport,Mildura,AU,,,,,"Mildura — Mildura Airport (MQL), AU"
SNB,Snake Bay Airport,Milikapiti,AU,,,,,"Milikapiti — Snake Bay Airport (SNB), AU"
MGT,Milingimbi Airport,Milingimbi Island,AU,,,,,"Milingimbi Island — Milingimbi Airport (MGT), AU"
GET,Geraldton Airport,Moonyoonooka,AU,,,,,"Moonyoonooka — Geraldton Airport (GET), AU"
MOV,Moranbah Airport,Moranbah,AU,,,,,"Moranbah — Moranbah Airport (MOV), AU"
MRZ,Moree Airport,Moree,AU,,,,,"Moree — Moree Airport (MRZ), AU"
MYA,Moruya Airport,Moruya,AU,,,,,"Moruya — Moruya Airport (MYA), AU"
PXH,Prominent Hill Airport,Mount Eba,AU,,,,,"Mount Eba — Prominent Hill Airport (PXH), AU"
MGB,Mount Gambier Airport,Mount Gambier,AU,,,,,"Mount Gambier — Mount Gambier Airport (MGB), AU"
MHU,Mount Hotham Airport,Mount Hotham,AU,,,,,"Mount Hotham — Mount Hotham Airport (MHU), AU"
ISA,Mount Isa Airport,Mount Isa,AU,,,,,"Mount Isa — Mount Isa Airport (ISA), AU"
MYI,Murray Island Airport,Murray Island,AU,,,,,"Murray Island — Murray Island Airport (MYI), AU"
NAA,Narrabri Airport,Narrabri,AU,,,,,"Narrabri — Narrabri Airport (NAA), AU"
NRA,Narrandera Airport,Narrandera,AU,,,,,"Narrandera — Narrandera Airport (NRA), AU"
ZNE,Newman Airport,Newman,AU,,,,,"Newman — Newman Airport (ZNE), AU"
GOV,Gove Airport,Nhulunbuy,AU,,,,,"Nhulunbuy — Gove Airport (GOV), AU"
NTN,Normanton Airport,Normanton,AU,,,,,"Normanton — Normanton Airport (NTN), AU"
OLP,Olympic Dam Airport,Olympic Dam,AU,,,,,"Olympic Dam — Olympic Dam Airport (OLP), AU"
PBO,Paraburdoo Airport,Paraburdoo,AU,,,,,"Paraburdoo — Paraburdoo Airport (PBO), AU"
PKE,Parkes Airport,Parkes,AU,,,,,"Parkes — Parkes Airport (PKE), AU"
PER,Perth International Airport,Perth,AU,,,,,"Perth — Perth International Airport (PER), AU"
EDR,Pormpuraaw Airport,Pormpuraaw,AU,,,,,"Pormpuraaw — Pormpuraaw Airport (EDR), AU"
PHE,Port Hedland International Airport,Port Hedland,AU,,,,,"Port Hedland — Port Hedland International Airport (PHE), AU"
PLO,Port Lincoln Airport,Port Lincoln,AU,,,,,"Port Lincoln — Port Lincoln Airport (PLO), AU"
PQQ,Port Macquarie Airport,Port Macquarie,AU,,,,,"Port Macquarie — Port Macquarie Airport (PQQ), AU"
PPP,Proserpine Whitsunday Coast Airport,Proserpine,AU,,,,,"Proserpine — Proserpine Whitsunday Coast Airport (PPP), AU"
ROK,Rockhampton Airport,Rockhampton,AU,,,,,"Rockhampton — Rockhampton Airport (ROK), AU"
RMA,Roma Airport,Roma,AU,,,,,"Roma — Roma Airport (RMA), AU"
SBR,Saibai Island Airport,Saibai Island,AU,,,,,"Saibai Island — Saibai Island Airport (SBR), AU"
SYU,Warraber Island Airport,Sue Islet,AU,,,,,"Sue Islet — Warraber Island Airport (SYU), AU"
LBH,Palm Beach Seaplane Base,Sydney,AU,,,,,"Sydney — Palm Beach Seaplane Base (LBH), AU"
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,,,,,"Sydney (Mascot) — Sydney Kingsford Smith International Airport (SYD), AU"
TMW,Tamworth Airport,Tamworth,AU,,,,,"Tamworth — Tamworth Airport (TMW), AU"
TCA,Tennant Creek Airport,Tennant Creek,AU,,,,,"Tennant Creek — Tennant Creek Airport (TCA), AU"
XTG,Thargomindah Airport,Thargomindah,AU,,,,,"Thargomindah — Thargomindah Airport (XTG), AU"
WTB,Toowoomba Wellcamp Airport,Toowoomba,AU,,,,,"Toowoomba — Toowoomba Wellcamp Airport (WTB), AU"
TSV,Townsville Airport / RAAF Base Townsville,Townsville,AU,,,,,"Townsville — Townsville Airport / RAAF Base Townsville (TSV), AU"
WEI,Weipa Airport,Weipa,AU,,,,,"Weipa — Weipa Airport (WEI), AU"
FLS,Flinders Island Airport,Whitemark,AU,,,,,"Whitemark — Flinders Island Airport (FLS), AU"
WYA,Whyalla Airport,Whyalla,AU,,,,,"Whyalla — Whyalla Airport (WYA), AU"
NTL,Newcastle Airport,Williamtown,AU,,,,,"Williamtown — Newcastle Airport (NTL), AU"
WNR,Windorah Airport,Windorah,AU,,,,,"Windorah — Windorah Airport (WNR), AU"
XMY,Yam Island Airport,Yam Island,AU,,,,,"Yam Island — Yam Island Airport (XMY), AU"
OKR,Yorke Island Airport,Yorke Island,AU,,,,,"Yorke Island — Yorke Island Airport (OKR), AU"
AYQ,Ayers Rock Connellan Airport,Yulara,AU,,,,,"Yulara — Ayers Rock Connellan Airport (AYQ), AU"
AUA,Queen Beatrix International Airport,Oranjestad,AW,,,,,"Oranjestad — Queen Beatrix International Airport (AUA), AW"
GYD,Heydar Aliyev International Airport,Baku,AZ,,,,,"Baku — Heydar Aliyev International Airport (GYD), AZ"
GBB,Gabala International Airport,Gabala,AZ,,,,,"Gabala — Gabala International Airport (GBB), AZ"
GNJ,Ganja International Airport,Ganja,AZ,,,,,"Ganja — Ganja International Airport (GNJ), AZ"
LLK,Lankaran International Airport,Lankaran,AZ,,,,,"Lankaran — Lankaran International Airport (LLK), AZ"
NAJ,Nakhchivan Airport,Nakhchivan,AZ,,,,,"Nakhchivan — Nakhchivan Airport (NAJ), AZ"
TZL,Tuzla International Airport,Dubrave Gornje,BA,,,,,"Dubrave Gornje — Tuzla International Airport (TZL), BA"
BNX,Banja Luka International Airport,Mahovljani,BA,,,,,"Mahovljani — Banja Luka International Airport (BNX), BA"
